"id","name","short_name","full_name","prefix","inn","kpp","ogrn","details","contacts","legal_address","post_address","bank_details","sys_id","type","type_ip","deleted","index","oid","federal_subject_id","client_id","client_secret","sb_client_secret","sb_client_id","sandbox","pharmacy_oid","name_subject_mo","list_oid","idx_in_report"
"10","Частное учреждение здравоохранения «Больница «РЖД - Медицина» города Елец»","ЧУЗ «РЖД - Медицина» г. Елец»","Частное учреждение здравоохранения «Больница «РЖД - Медицина» города Елец»",NULL,"4821016054","482101001","1044800113071",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Частное учреждение здравоохранения «Больница «РЖД - Медицина» города Елец» 4821016054 1044800113071 482101001","1.2.643.5.1.13.13.12.2.48.4499","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4499}",NULL
"5","Государственное учреждение здравоохранения ""Липецкая областная психоневрологическая больница""","ГУЗ ""ЛОПНБ""","Государственное учреждение здравоохранения ""Липецкая областная психоневрологическая больница""",NULL,"4802002585","480201001","1024800522570",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения ""Липецкая областная психоневрологическая больница"" 4802002585 1024800522570 480201001","1.2.643.5.1.13.13.12.2.48.4491","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4491}","10800"
"4","Государственное учреждение здравоохранения ""Областной врачебно-физкультурный диспансер""","ГУЗ ""ОВФД""","Государственное учреждение здравоохранения ""Областной врачебно-физкультурный диспансер""",NULL,"4825006018","482401001","1024840832114",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения ""Областной врачебно-физкультурный диспансер"" 4825006018 1024840832114 482401001","1.2.643.5.1.13.13.12.2.48.4488","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4488}","11200"
"21","ГАУЗ Липецкая городская стоматологическая поликлиника №2","ГАУЗ Липецкая ГСП №2","ГАУЗ Липецкая городская стоматологическая поликлиника №2",NULL,"4826008811","482601001","1024840824810",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"ГАУЗ Липецкая городская стоматологическая поликлиника №2 4826008811 1024840824810 482601001","1.2.643.5.1.13.13.12.2.48.4525","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4525}","13600"
"6","Государственное учреждение здравоохранения ""Елецкая городская больница № 1 им. Н.А. Семашко""","ГУЗ ""Елецкая горбольница № 1 им. Н.А. Семашко""","Государственное учреждение здравоохранения ""Елецкая городская больница № 1 им. Н.А. Семашко""",NULL,"4821004010","482101001","1024800788693",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения ""Елецкая городская больница № 1 им. Н.А. Семашко"" 4821004010 1024800788693 482101001","1.2.643.5.1.13.13.12.2.48.4492","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4492}","13800"
"17","Областное казенное учреждение Елецкий специализированный Дом ребенка","ОКУ ""Елецкий СДР""","Областное казенное учреждение Елецкий специализированный Дом ребенка",NULL,"4821010849","482101001","1024800794732",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Областное казенное учреждение Елецкий специализированный Дом ребенка 4821010849 1024800794732 482101001","1.2.643.5.1.13.13.12.2.48.4514","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4514}","14400"
"22","Ассоциация ""Новолипецкий Медицинский центр""","Ассоциация ""НМЦ""","Ассоциация ""Новолипецкий Медицинский центр""",NULL,"4823029651","482301001","1074800000032",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Ассоциация ""Новолипецкий Медицинский центр"" 4823029651 1074800000032 482301001","1.2.643.5.1.13.13.12.2.48.4526","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4526}",NULL
"44","Государственное учреждение здравоохранения ""Липецкий областной клинический центр""","ГУЗ ""ЛОКЦ""","Государственное учреждение здравоохранения ""Липецкий областной клинический центр""",NULL,"4825031751","482501001","1024840839540",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения ""Липецкий областной клинический центр"" 4825031751 1024840839540 482501001","1.2.643.5.1.13.13.12.2.48.4562","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4562}","10200"
"31","Областное казенное учреждение ""Усманский противотуберкулезный детский санаторий""","ОКУ УПДС","Областное казенное учреждение ""Усманский противотуберкулезный детский санаторий""",NULL,"4816003395","481601001","1024800730118",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Областное казенное учреждение ""Усманский противотуберкулезный детский санаторий"" 4816003395 1024800730118 481601001","1.2.643.5.1.13.13.12.2.48.4541","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4541}","11600"
"32","Государственное учреждение здравоохранения ""Липецкая городская больница № 4 ""Липецк-Мед""","ГУЗ ""Липецкая ГБ № 4 ""Липецк-Мед""","Государственное учреждение здравоохранения ""Липецкая городская больница № 4 ""Липецк-Мед""",NULL,"4824032706","482401001","1054800198705",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения ""Липецкая городская больница № 4 ""Липецк-Мед"" 4824032706 1054800198705 482401001","1.2.643.5.1.13.13.12.2.48.4542","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4542}","12600"
"30","Государственное учреждение здравоохранения"" Липецкая городская детская больница""","ГУЗ ЛГДБ","Государственное учреждение здравоохранения"" Липецкая городская детская больница""",NULL,"4825007741","482501001","1024840843994",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения"" Липецкая городская детская больница"" 4825007741 1024840843994 482501001","1.2.643.5.1.13.13.12.2.48.4540","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4540}","12900"
"16","Государственное учреждение здравоохранения""Елецкая городская больница №2""","ГУЗ ""Елецкая городская больница №2""","Государственное учреждение здравоохранения""Елецкая городская больница №2""",NULL,"4821011419","482101001","1024800790156",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения""Елецкая городская больница №2"" 4821011419 1024800790156 482101001","1.2.643.5.1.13.13.12.2.48.4512","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4512}","13900"
"34","Государственное учреждение здравоохранения ""Становлянская районная больница""","ГУЗ ""Становлянская РБ""","Государственное учреждение здравоохранения ""Становлянская районная больница""",NULL,"4814000818","481401001","1024800608128",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения ""Становлянская районная больница"" 4814000818 1024800608128 481401001","1.2.643.5.1.13.13.12.2.48.4547","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4547}","15800"
"52","Государственное учреждение здравоохранения ""Липецкая городская поликлиника №4""","ГУЗ ""Липецкая ГП №4""","Государственное учреждение здравоохранения ""Липецкая городская поликлиника №4""",NULL,"4826009773","482601001","1024840851518",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения ""Липецкая городская поликлиника №4"" 4826009773 1024840851518 482601001","1.2.643.5.1.13.13.12.2.48.4497","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4497}","13200"
"27","Государственное учреждение здравоохранения Липецкая городская детская стоматологическая поликлиника","ГУЗ Липецкая ГДСП","Государственное учреждение здравоохранения Липецкая городская детская стоматологическая поликлиника",NULL,"4826008755","482601001","1024840838846",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения Липецкая городская детская стоматологическая поликлиника 4826008755 1024840838846 482601001","1.2.643.5.1.13.13.12.2.48.4536","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4536}","13700"
"54","Государственное учреждение здравоохранения ""Данковская центральная районная больница""","ГУЗ ""Данковская ЦРБ""","Государственное учреждение здравоохранения ""Данковская центральная районная больница""",NULL,"4803002620","480301001","1024800550708",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения ""Данковская центральная районная больница"" 4803002620 1024800550708 480301001","1.2.643.5.1.13.13.12.2.48.4522","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4522}","14700"
"37","Государственное учреждение здравоохранения «Добровская районная больница»","ГУЗ «Добровская РБ»","Государственное учреждение здравоохранения «Добровская районная больница»",NULL,"4805001597","480501001","1024800768420",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения «Добровская районная больница» 4805001597 1024800768420 480501001","1.2.643.5.1.13.13.12.2.48.4552","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4552}","14900"
"41","Государственное учреждение здравоохранения «Краснинская районная больница»","ГУЗ «Краснинская РБ»","Государственное учреждение здравоохранения «Краснинская районная больница»",NULL,"4810000983","481001001","1024800673204",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения «Краснинская районная больница» 4810000983 1024800673204 481001001","1.2.643.5.1.13.13.12.2.48.4556","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4556}","15400"
"39","Государственное учреждение здравоохранения «Чаплыгинская районная больница»","ГУЗ «Чаплыгинская РБ»","Государственное учреждение здравоохранения «Чаплыгинская районная больница»",NULL,"4818001770","481801001","1024800770851",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения «Чаплыгинская районная больница» 4818001770 1024800770851 481801001","1.2.643.5.1.13.13.12.2.48.4554","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4554}","16200"
"33","Областное казенное учреждение Липецкий областной противотуберкулезный санаторий ""Лесная сказка""","ОКУ ЛОПС ""Лесная сказка""","Областное казенное учреждение Липецкий областной противотуберкулезный санаторий ""Лесная сказка""",NULL,"4824005237","482401001","1024840854708",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Областное казенное учреждение Липецкий областной противотуберкулезный санаторий ""Лесная сказка"" 4824005237 1024840854708 482401001","1.2.643.5.1.13.13.12.2.48.4546","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4546}","11500"
"66","ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""МЕДИЦИНСКИЙ ЦЕНТР МОБИЛИЗАЦИОННЫХ РЕЗЕРВОВ ""РЕЗЕРВ""","ОКУ ""МЦМР ""РЕЗЕРВ""","ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""МЕДИЦИНСКИЙ ЦЕНТР МОБИЛИЗАЦИОННЫХ РЕЗЕРВОВ ""РЕЗЕРВ""",NULL,"4826010874","482401001","1024840833775",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""МЕДИЦИНСКИЙ ЦЕНТР МОБИЛИЗАЦИОННЫХ РЕЗЕРВОВ ""РЕЗЕРВ"" 4826010874 1024840833775 482401001","1.2.643.5.1.13.13.12.2.48.10276","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.10276}","12000"
"49","Государственное учреждение здравоохранения ""Липецкая городская поликлиника №5""","ГУЗ ""Липецкая ГП №5""","Государственное учреждение здравоохранения ""Липецкая городская поликлиника №5""",NULL,"4824015130","482401001","1024840849483",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения ""Липецкая городская поликлиника №5"" 4824015130 1024840849483 482401001","1.2.643.5.1.13.13.12.2.48.4490","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4490}","13300"
"36","Государственное учреждение здравоохранения ""Грязинская центральная районная больница""","ГУЗ «Грязинская ЦРБ»","Государственное учреждение здравоохранения ""Грязинская центральная районная больница""",NULL,"4802003719","480201001","1024800522933",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения ""Грязинская центральная районная больница"" 4802003719 1024800522933 480201001","1.2.643.5.1.13.13.12.2.48.4551","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4551}","14600"
"56","Государственное учреждение здравоохранения ""Долгоруковская районная больница""","ГУЗ ""Долгоруковская РБ""","Государственное учреждение здравоохранения ""Долгоруковская районная больница""",NULL,"4806000660","480601001","1024800717281",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения ""Долгоруковская районная больница"" 4806000660 1024800717281 480601001","1.2.643.5.1.13.13.12.2.48.4529","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4529}","15000"
"48","Государственное учреждение здравоохранения ""Липецкая областная клиническая больница""","ГУЗ ""ЛОКБ""","Государственное учреждение здравоохранения ""Липецкая областная клиническая больница""",NULL,"4825005110","482501001","1024840850055",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения ""Липецкая областная клиническая больница"" 4825005110 1024840850055 482501001","1.2.643.5.1.13.13.12.2.48.4510","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4510}","10100"
"55","Государственное учреждение здравоохранения ""Областная детская больница""","ГУЗ ""ОДБ""","Государственное учреждение здравоохранения ""Областная детская больница""",NULL,"4825004194","482501001","1024840851617",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения ""Областная детская больница"" 4825004194 1024840851617 482501001","1.2.643.5.1.13.13.12.2.48.4528","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4528}","10300"
"51","Государственное учреждение здравоохранения ""Липецкий областной онкологический диспансер""","ГУЗ ""ЛООД""","Государственное учреждение здравоохранения ""Липецкий областной онкологический диспансер""",NULL,"4823006453","482301001","1024800834277",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения ""Липецкий областной онкологический диспансер"" 4823006453 1024800834277 482301001","1.2.643.5.1.13.13.12.2.48.4502","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4502}","10600"
"8","Государственное учреждение здравоохранения Липецкий областной наркологический диспансер","ГУЗ ""ЛОНД""","Государственное учреждение здравоохранения Липецкий областной наркологический диспансер",NULL,"4824003085","482401001","1024840855380",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения Липецкий областной наркологический диспансер 4824003085 1024840855380 482401001","1.2.643.5.1.13.13.12.2.48.4495","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4495}","10700"
"47","Государственное автономное учреждение здравоохранения ""Елецкая стоматологическая поликлиника""","ГАУЗ ""Елецкая СП""","Государственное автономное учреждение здравоохранения ""Елецкая стоматологическая поликлиника""",NULL,"4821004193","482101001","1024800790497",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное автономное учреждение здравоохранения ""Елецкая стоматологическая поликлиника"" 4821004193 1024800790497 482101001","1.2.643.5.1.13.13.12.2.48.4567","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4567}","14100"
"74","Государственное учреждение здравоохранения «Воловская районная больница»","ГУЗ «Воловская РБ»","Государственное учреждение здравоохранения «Воловская районная больница»",NULL,"4801015214","480101001","1194827008254",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения «Воловская районная больница» 4801015214 1194827008254 480101001","1.2.643.5.1.13.13.12.2.48.11267","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.11267}","14500"
"61","Государственное учреждение здравоохранения ""Липецкая районная больница""","ГУЗ ""Липецкая РБ""","Государственное учреждение здравоохранения ""Липецкая районная больница""",NULL,"4813004947","481301001","1024800690023",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения ""Липецкая районная больница"" 4813004947 1024800690023 481301001","1.2.643.5.1.13.13.12.2.48.4485","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4485}","15700"
"43","Государственное учреждение здравоохранения «Липецкая областная клиническая инфекционная больница»","ГУЗ ""ЛОКИБ""","Государственное учреждение здравоохранения «Липецкая областная клиническая инфекционная больница»",NULL,"4826008956","482601001","1024840829980",NULL,NULL,"{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}","{""fias"": ""true"", ""flat"": """", ""house"": """", ""aoguid"": """", ""houseguid"": """", ""post_code"": """", ""full_address"": """"}",NULL,NULL,0,False,False,"Государственное учреждение здравоохранения «Липецкая областная клиническая инфекционная больница» 4826008956 1024840829980 482601001","1.2.643.5.1.13.13.12.2.48.4560","48",NULL,NULL,NULL,NULL,True,NULL,"Медицинская организация","{1.2.643.5.1.13.13.12.2.48.4560}","10900"
