id|name|parent_id|sort|normative|form_30|sert|actual|comment|p_group|data_end
354|Заведующий фельдшерско-акушерским пунктом - медицинская сестра|145|183||147||t|""|f|
355|Заведующий кабинетом медицинской профилактики - фельдшер |146|185||146||t|""|f|
356|Заведующий кабинетом медицинской профилактики - медицинская сестра|146|186||146||t|""|f|
445|Заведующий производством учреждений зубопротезирования|147|188||146||t|""|f|
446|Заведующий производством отделов зубопротезирования|147|189||146||t|""|f|
447|Заведующий производством отделений зубопротезирования|147|190||146||t|""|f|
448|Заведующий производством лабораторий зубопротезирования|147|191||146||t|""|f|
148|Заведующий молочной кухней|143|192|1|146||t|""|f|
357|Старшая медицинская сестра |149|194||184||t|""|f|
358|Старший акушер|149|195||184||t|""|f|
360|Старшая операционная медицинская сестра|149|197||184||t|""|f|
361|Старший зубной техник|149|198||184||t|""|f|
150|Акушер|143|199|1|144||t|""|f|
151|Гигиенист стоматологический|143|200|1|145||t|""|f|
152|Зубной врач|143|201|1|148||t|""|f|
153|Зубной техник|143|202|1|150||t|""|f|
154|Инструктор-дезинфектор|143|203|1|151||t|""|f|
155|Инструктор по гигиеническому воспитанию|143|204|1|152||t|""|f|
156|Инструктор по лечебной физкультуре|143|205|1|153||t|""|f|
157|Инструктор по трудовой терапии|143|206|1|154||t|""|f|
158|Лаборант|143|207|1|155||t|""|f|
160|Медицинская сестра - анестезист |143|209|1|170||t|""|f|
161|Медицинская сестра врача общей практики (семейного врача)|143|210|1|171||t|""|f|
162|Медицинская сестра диетическая|143|211|1|172||t|""|f|
163|Медицинская сестра медико-социальной помощи|143|212|1|173||t|""|f|
164|Медицинская сестра палатная (постовая)|143|213|1|176||t|""|f|
165|Медицинская сестра патронажная |143|214|1|177||t|""|f|
166|Медицинская сестра перевязочной |143|215|1|178||t|""|f|
167|Медицинская сестра по косметологии|143|216|1|179||t|""|f|
168|Медицинская сестра по массажу |143|217|1|180||t|""|f|
482|Директор научной организации |480|318||||t|""|f|
362|Медицинская сестра по приему вызовов скорой медицинской помощи и передаче их выездным бригадам скорой медицинской помощи|169|219||174||t|""|f|
363|Фельдшер по приему вызовов скорой медицинской помощи и передаче их выездным бригадам скорой медицинской помощи|169|220||174||t|""|f|
170|Медицинская сестра приемного отделения |143|221|1|181||t|""|f|
171|Медицинская сестра процедурной |143|222|1|182||t|""|f|
172|Медицинская сестра по реабилитации|143|223|1|183||t|""|f|
173|Медицинская сестра стерилизационной |143|224|1|185||t|""|f|
174|Медицинская сестра участковая |143|225|1|186||t|""|f|
175|Медицинская сестра по физиотерапии|143|226|1|188||t|""|f|
176|Медицинский дезинфектор|143|227|1|190||t|""|f|
364|Медицинский лабораторный техник|177|229||159||t|""|f|
365|Фельдшер-лаборант|177|230||159||t|""|f|
178|Медицинский оптик-оптометрист|143|231|1|191||t|""|f|
179|Медицинский регистратор|143|232|1|192||t|""|f|
180|Медицинский статистик|143|233|1|193||t|""|f|
181|Медицинский технолог|143|234|1|194||t|""|f|
182|Операционная медицинская сестра |159|235|1|175||t|""|f|
184|Помощник врача-эпидемиолога |183|237|1|202||t|""|f|
185|Помощник врача-паразитолога|183|238|1|202||t|""|f|
186|Помощник врача по гигиене детей и подростков|183|239|1|200||t|""|f|
187|Помощник врача по гигиене питания|183|240|1|200||t|""|f|
188|Помощник врача по гигиене труда|183|241|1|200||t|""|f|
189|Помощник врача по гигиеническому воспитанию|183|242|1|200||t|""|f|
190|Помощник врача по коммунальной гигиене|183|243|1|200||t|""|f|
191|Помощник врача по общей гигиене|183|244|1|200||t|""|f|
192|Помощник врача по радиационной гигиене|183|245|1|200||t|""|f|
193|Помощник энтомолога|143|246|1|201||t|""|f|
194|Рентгенолаборант|143|247|1|203||t|""|f|
195|Фельдшер|143|248|1|204||t|""|f|
196|Фельдшер скорой медицинской помощи|143|249|1|205||t|""|f|
197|Фельдшер-нарколог|143|250|1|206||t|""|f|
198|Фельдшер-водитель скорой медицинской помощи|143|251|1|207||t|""|f|
366|Продавец оптики|143|252||208||t|""|f|
199|Прочий средний медицинский персонал|143|253||208||t|""|f|
201|Младшая медицинская сестра по уходу за больными |200|255|1|215||t|""|f|
202|Санитар|200|256|1|216||t|""|f|
203|Сестра-хозяйка|200|257|1|214||t|""|f|
204|Санитар-водитель|200|258|1|216||t|""|f|
206|ИТ-специалист|205|260||220||t|""|f|
207|Водитель скорой медицинской помощи|205|261||219||t|""|f|
209|Специалист отдела кадров|205|263||217||t|""|f|
210|Гардеробщик|205|264||217||t|""|f|
211|Библиотекарь|205|265||217||t|""|f|
212|Лифтер|205|266||217||t|""|f|
213|Иные профессии рабочих и служащих|205|267||217||t|""|f|
483|Заведующий научной организации |480|319||||t|""|f|
367|Директор аптечной организации|217|272||136||t|""|f|
368|Заведующий аптечной организации|217|273||136||t|""|f|
369|Начальник аптечной организации|217|274||136||t|""|f|
370|Заместитель директора аптечной организации |218|276||136||t|""|f|
371|Заместитель заведующего аптечной организации |218|277||136||t|""|f|
372|Заместитель начальника аптечной организации |218|278||136||t|""|f|
219|Заведующий складом организации оптовой торговли лекарственными средствами|216|279|1|136||t|""|f|
220|Заведующий медицинским складом мобилизационного резерва|216|280|1|136||t|""|f|
221|Заместитель заведующего складом организации оптовой торговли лекарственными средствами|216|281|1|136||t|""|f|
373|Заведующий структурного подразделения аптечной организации|222|283||136||t|""|f|
439|Заведующий отделом аптечной организации|222|284||136||t|""|f|
374|Начальник структурного подразделения аптечной организации|222|285||136||t|""|f|
440|Начальник отдела аптечной организации|222|286||136||t|""|f|
224|Провизор-стажер|223|288|1|135||t|""|f|
225|Провизор|223|289|1|135||t|""|f|
226|Провизор-технолог|223|290|1|137||t|""|f|
227|Провизор-аналитик|223|291|1|138||t|""|f|
228|Старший провизор|223|292|1|135||t|""|f|
230|Старший фармацевт|229|294|1|209||t|""|f|
231|Фармацевт|229|295|1|209||t|""|f|
232|Младший фармацевт|229|296|1|209||t|""|f|
234|Санитар (мойщик)|233|298|1|217||f|""|f|2014-08-01
235|Фасовщик |233|299|1|217||t|""|f|
237|Иные профессии рабочих|236|301||217||t|""|f|
375|Руководитель образовательной организации|240|305||||t|""|f|
376|Ректор образовательной организации высшего профессионального образования|240|306|2|||t|""|f|
377|Директор образовательной организации |240|307|2|||t|""|f|
378|Заведующий образовательной организации |240|308|2|||t|""|f|
379|Начальник образовательной организации |240|309|2|||t|""|f|
241|Президент образовательной организации высшего профессионального образования|240|310|2|||t|""|f|
380|Заместитель руководителя образовательной организации|242|312||||t|""|f|
381|Заместитель директора образовательной организации|242|313||||t|""|f|
382|Заместитель заведующего образовательной организации|242|314||||t|""|f|
383|Заместитель начальника образовательной организации|242|315||||t|""|f|
481|Руководитель научной организации|480|317||||t|""|f|
484|Начальник научной организации |480|320||||t|""|f|
486|Заместитель руководителя научной организации|485|322||||t|""|f|
487|Заместитель директора научной организации|485|323||||t|""|f|
488|Заместитель заведующего научной организации|485|324||||t|""|f|
489|Заместитель начальника научной организации|485|325||||t|""|f|
384|Руководитель структурного подразделения|243|327||||t|""|f|
385|Директор структурного подразделения|243|328||||t|""|f|
386|Заведующий структурного подразделения|243|329||||t|""|f|
387|Начальник структурного подразделения|243|330||||t|""|f|
388|Управляющий структурного подразделения|243|331||||t|""|f|
389|Руководитель обособленного структурного подразделения|244|333||||t|""|f|
390|Директор обособленного структурного подразделения|244|334||||t|""|f|
391|Заведующий обособленного структурного подразделения|244|335||||t|""|f|
392|Начальник обособленного структурного подразделения|244|336||||t|""|f|
393|Управляющий обособленного структурного подразделения|244|337||||t|""|f|
394|Заместитель руководителя структурного подразделения|245|339||||t|""|f|
395|Заместитель директора структурного подразделения|245|340||||t|""|f|
396|Заместитель заведующего структурного подразделения|245|341||||t|""|f|
397|Заместитель начальника структурного подразделения|245|342||||t|""|f|
398|Заместитель управляющего структурного подразделения|245|343||||t|""|f|
490|Заведующий техническим архивом|246|345||||t|""|f|
491|Заведующий чертежно-копировальным бюро|246|346||||t|""|f|
492|Заведующий лабораторией (компьютерного и фото-, кинооборудования, оргтехники, средств связи)|246|347||||t|""|f|
493|Начальник технического архива|246|348||||t|""|f|
494|Начальник чертежно-копировального бюро|246|349||||t|""|f|
495|Начальник лаборатории (компьютерного и фото-, кинооборудования, оргтехники, средств связи)|246|350||||t|""|f|
401|Заведующий отделом научно-технической информации|247|352||||t|""|f|
402|Начальник отдела научно-технической информации|247|353||||t|""|f|
441|Начальник группы|248|356||||t|""|f|
404|Руководитель бригады|248|357||||t|""|f|
442|Руководитель группы|248|358||||t|""|f|
496|Заведующий научно-исследовательским отделом|249|360||||t|""|f|
497|Заведующий научно-исследовательской лабораторией|249|361||||t|""|f|
498|Заведующий научно-исследовательским отделением|249|362||||t|""|f|
499|Заведующий научно-исследовательским сектором|249|363||||t|""|f|
500|Заведующий конструкторским отделом|249|364||||t|""|f|
501|Заведующий конструкторской лабораторией|249|365||||t|""|f|
502|Заведующий конструкторским отделением|249|366||||t|""|f|
503|Заведующий конструкторским сектором|249|367||||t|""|f|
504|Начальник научно-исследовательского отдела|249|368||||t|""|f|
505|Начальник научно-исследовательской лаборатории|249|369||||t|""|f|
506|Начальник научно-исследовательским отделения|249|370||||t|""|f|
507|Начальник научно-исследовательского сектора|249|371||||t|""|f|
508|Начальник конструкторского отдела|249|372||||t|""|f|
509|Начальник конструкторской лаборатории|249|373||||t|""|f|
510|Начальник конструкторского отделения|249|374||||t|""|f|
511|Начальник конструкторского сектора|249|375||||t|""|f|
407|Заведующий научным центром|250|377||||t|""|f|
408|Начальник научного центра|250|378||||t|""|f|
409|Начальник отдела аспирантуры|251|380||||t|""|f|
478|Начальник управления аспирантуры|251|381|||||""|f|
410|Заведующий отделом аспирантуры|251|382||||t|""|f|
479|Заведующий управлением аспирантуры|251|383|||||""|f|
252|Первый проректор|239|384|2|||t|""|f|
253|Проректор|239|385|2|||t|""|f|
254|Помощник ректора |239|386|2|||t|""|f|
255|Помощник проректора|239|387|2|||t|""|f|
256|Советник при ректорате|239|388|2|||t|""|f|
257|Ученый секретарь совета образовательной организации|239|389|2|||t|""|f|
258|Ученый секретарь совета факультета|239|390|2|||t|""|f|
444|Ученый секретарь совета института|239|391||||t|""|f|
512|Руководитель учебной практики|259|393||||t|""|f|
453|Руководитель учебно-производственной практики|259|394||||t|""|f|
454|Руководитель производственной практики|259|395||||t|""|f|
455|Заведующий учебной практики|259|396||||t|""|f|
456|Заведующий учебно-производственной практики|259|397||||t|""|f|
457|Заведующий производственной практики|259|398||||t|""|f|
458|Заведующий питомника|260|400||||t|""|f|
459|Заведующий учебного вивария|260|401||||t|""|f|
460|Заведующий лесхоза|260|402||||t|""|f|
461|Заведующий опытного поля|260|403||||t|""|f|
462|Заведующий ботанического сада (дендрария)|260|404||||t|""|f|
463|Директор питомника|260|405||||t|""|f|
464|Директор учебного вивария|260|406||||t|""|f|
465|Директор лесхоза|260|407||||t|""|f|
466|Директор опытного поля|260|408||||t|""|f|
467|Директор ботанического сада (дендрария)|260|409||||t|""|f|
468|Начальник питомника|260|410||||t|""|f|
469|Начальник учебного вивария|260|411||||t|""|f|
470|Начальник лесхоза|260|412||||t|""|f|
471|Начальник опытного поля|260|413||||t|""|f|
472|Начальник ботанического сада (дендрария)|260|414||||t|""|f|
473|Руководитель питомника|260|415||||t|""|f|
474|Руководитель учебного вивария|260|416||||t|""|f|
475|Руководитель лесхоза|260|417||||t|""|f|
476|Руководитель опытного поля|260|418||||t|""|f|
477|Руководитель ботанического сада (дендрария)|260|419||||t|""|f|
261|Старший мастер|239|420|2|||t|""|f|
417|Директор студенческого дворца культуры|262|422||||t|""|f|
418|Начальник студенческого дворца культуры|262|423||||t|""|f|
419|Руководитель студенческого дворца культуры|262|424||||t|""|f|
420|Директор студенческого общежития|263|426||||t|""|f|
421|Начальник студенческого общежития|263|427||||t|""|f|
422|Заведующий студенческого общежития|263|428||||t|""|f|
423|Директор издательства учебной литературы и учебных пособий|264|430||||t|""|f|
424|Руководитель издательства учебной литературы и учебных пособий|264|431||||t|""|f|
425|Заведующий издательства учебной литературы и учебных пособий|264|432||||t|""|f|
267|Декан факультета|266|435|2|||t|""|f|
426|Заместитель декана|266|436||||t|""|f|
268|Начальник факультета|266|437|2|||t|""|f|
269|Директор института|266|438|2|||t|""|f|
270|Начальник института|266|439|2|||t|""|f|
271|Заведующий кафедрой|266|440|2|||t|""|f|
272|Начальник кафедры|266|441|2|||t|""|f|
273|Заместитель начальника кафедры|266|442|2|||t|""|f|
274|Профессор|266|443|2|||t|""|f|
275|Доцент|266|444|2|||t|""|f|
276|Старший преподаватель|266|445|2|||t|""|f|
277|Преподаватель|266|446|2|||t|""|f|
278|Ассистент|266|447|2|||t|""|f|
279|Заведующий курсом|266|448||||t|""|f|
281|Воспитатель|280|450|2|||t|""|f|
282|Инструктор-методист|280|451|2|||t|""|f|
283|Инструктор по труду|280|452|2|||t|""|f|
284|Инструктор по физической культуре|280|453|2|||t|""|f|
285|Концертмейстер|280|454|2|||t|""|f|
286|Логопед|280|455|2|||t|""|f|
287|Мастер производственного обучения|280|456|2|||t|""|f|
288|Методист|280|457|2|||t|""|f|
289|Музыкальный руководитель|280|458|2|||t|""|f|
290|Педагог дополнительного образования|280|459|2|||t|""|f|
291|Педагог-библиотекарь|280|460|2|||t|""|f|
292|Педагог-организатор|280|461|2|||t|""|f|
293|Педагог-психолог|280|462|2|||t|""|f|
294|Преподаватель|280|463|2|||t|""|f|
295|Преподаватель-организатор основ безопасности жизнедеятельности|280|464|2|||t|""|f|
296|Руководитель физического воспитания|280|465|2|||t|""|f|
297|Социальный педагог|280|466|2|||t|""|f|
298|Старший вожатый|280|467|2|||t|""|f|
299|Старший воспитатель|280|468|2|||t|""|f|
300|Старший инструктор-методист|280|469|2|||t|""|f|
301|Старший методист|280|470|2|||t|""|f|
302|Старший педагог дополнительного образования|280|471|2|||t|""|f|
303|Старший тренер-преподаватель|280|472|2|||t|""|f|
304|Тренер-преподаватель|280|473|2|||t|""|f|
305|Тьютор|280|474|2|||t|""|f|
306|Учитель|280|475|2|||t|""|f|
307|Учитель-дефектолог|280|476|2|||t|""|f|
308|Учитель-логопед|280|477|2|||t|""|f|
310|Младший научный сотрудник|309|479|5|||t|""|f|
311|Научный сотрудник|309|480|5|||t|""|f|
312|Старший научный сотрудник|309|481|5|||t|""|f|
313|Ведущий научный сотрудник|309|482|5|||t|""|f|
314|Главный научный сотрудник|309|483|5|||t|""|f|
315|Стажер-исследователь|309|484|4|||t|""|f|
316|Лаборант-исследователь|309|485|4|||t|""|f|
318|Заведующий учебным кабинетом|317|487||||t|""|f|
319|Старший лаборант|317|488||||t|""|f|
321|Старший препаратор|317|490||||t|""|f|
322|Рабочий кафедры|317|491||||t|""|f|
324|Диспетчер факультета|323|493|3|||t|""|f|
325|ИТ-специалист|323|494||||t|""|f|
326|Инженер|323|495|5|||t|""|f|
327|Инженер-программист|323|496|5|||t|""|f|
329|Специалист по учебно-методической работе |323|498|3|||t|""|f|
330|Учебный мастер|323|499|3|||t|""|f|
331|Бухгалтер|323|500|5|||t|""|f|
332|Специалист отдела кадров|323|501|5|||t|""|f|
333|Иные профессии рабочих|323|502||||t|""|f|
100009|Начальник технического отдела|100000||||f|t|""|f|
100010|Заведующий аптекой - провизор|100000||||f|t|""|f|
1000011|Заведующий складом|100000||||f|t|""|f|
