id;oid;oldOid;nameFull;nameShort;parentId;medicalSubjectId;medicalSubjectName;inn;kpp;ogrn;regionId;regionName;organizationType;moDeptId;moDeptName;founder;deleteDate;deleteReason;createDate;modifyDate;moLevel;moAgencyKindId;moAgencyKind;profileAgencyKindId;profileAgencyKind;postIndex;cadastralNumber;latitude;longtitude;fiasVersion;aoidArea;aoidStreet;houseid;addrRegionId;addrRegionName;territoryCode;isFederalCity;areaName;prefixArea;streetName;prefixStreet;house
22481;1.2.643.5.1.13.13.12.2.48.4484;1.2.643.5.1.13.3.25.48.6;Государственное учреждение здравоохранения "Липецкий областной перинатальный центр";ГУЗ "ЛОПЦ";;2;Медицинская организация;4825053843;482501001;1074823017609;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;09.05.2021;III уровень;43;Центр (Лечебно-профилактические медицинские организации);72;перинатальный;398055;48:20:0029309:262;52.607114;39.515407;465;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;06b9358c-a608-43ce-bd10-2e94dc6210cd;e989ba9b-abbc-408f-845c-7287d623da72;48;Липецкая область;42;false;Липецк;г;Московская;ул;6г
22484;1.2.643.5.1.13.13.12.2.48.4486;1.2.643.5.1.13.3.25.48.8;Государственное учреждение здравоохранения "Липецкий областной Центр по профилактике и борьбе со СПИД и инфекционными заболеваниями";ГУЗ "ЛОЦПБС и ИЗ";;2;Медицинская организация;4826022414;482601001;1024840844071;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;10.03.2021;II уровень;43;Центр (Лечебно-профилактические медицинские организации);74;профилактики и борьбы со СПИД;398043;;52.621407;39.558472;355;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;a8ac2ad1-be39-4b40-95fa-7d6772a6bd8b;8b1f5812-dd9a-4e0c-87e9-582fe4b732a3;48;Липецкая область;42;false;Липецк;г;Гагарина;ул;135
22485;1.2.643.5.1.13.13.12.2.48.4487;1.2.643.5.1.13.3.25.48.9;Государственное учреждение здравоохранения особого типа "Центр общественного здоровья и медицинской профилактики";ГУЗОТ "ЦОЗиМП";;2;Медицинская организация;4826036600;482601001;1024840827440;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;20.03.2021;II уровень;93;Центр (Медицинские организации особого типа);94;общественного здоровья и медицинской профилактики;398042;48:20:000000:0000;52.605091;39.536778;408;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;feb84d4f-35f2-482e-b9e6-3dacd8758cb2;;48;Липецкая область;42;false;Липецк;г;9-й;мкр;17
22508;1.2.643.5.1.13.13.12.2.48.4488;1.2.643.5.1.13.3.25.48.10;Государственное учреждение здравоохранения "Областной врачебно-физкультурный диспансер";ГУЗ "ОВФД";;2;Медицинская организация;4825006018;482401001;1024840832114;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;25.02.2021;II уровень;23;Диспансер;24;врачебно-физкультурный;398059;;52.597614;39.581424;548;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;8d62f58a-81d8-4e4b-8ac5-ce5051b694b4;889f2bb2-1884-4cb9-b6cb-713ba1ff5bfb;48;Липецкая область;42;false;Липецк;г;М.И. Неделина;ул;9
22614;1.2.643.5.1.13.13.12.2.48.4491;1.2.643.5.1.13.3.25.48.13;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";ГУЗ "ЛОПНБ";;2;Медицинская организация;4802002585;480201001;1024800522570;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;17.05.2021;II уровень;4;Специализированная больница;15;психоневрологическая, в том числе детская;399083;48:02:0410106:8;52.652721;39.817147;576;ff127c5c-2336-4cbb-b1f2-439d9b8d65b4;636fd86b-ed7f-4953-9830-7d01f411bca7;1386b010-c716-4f30-bb97-e43a91b2626d;48;Липецкая область;42;false;Плеханово;с;Плеханова;ул;173а
22761;1.2.643.5.1.13.13.12.2.48.4492;1.2.643.5.1.13.3.25.48.14;Государственное учреждение здравоохранения "Елецкая городская больница № 1 им. Н.А. Семашко";ГУЗ "Елецкая горбольница № 1 им. Н.А. Семашко";;2;Медицинская организация;4821004010;482101001;1024800788693;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;11.03.2021;III уровень;1;Больница (в том числе детская);;;399774;;52.626688;38.483225;331;5aa1fba5-eab6-4a44-b91d-221f70ff73e1;05e854a4-3a25-4523-aedb-779213067daf;a62b8305-550f-477b-a301-13de4f0c1eec;48;Липецкая область;42;false;Елец;г;Коммунаров;ул;40
22766;1.2.643.5.1.13.13.12.2.48.4493;1.2.643.5.1.13.3.25.48.15;ГАУЗ "Липецкая городская стоматологическая поликлиника №1";ГАУЗ "Липецкая ГСП №1";;2;Медицинская организация;4824006872;482401001;1024840831256;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;17.05.2021;I уровень;34;Поликлиника;38;стоматологическая, в том числе детская;398046;48:20:0044401:638;52.593270;39.540299;407;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;26d5e249-3d44-4b40-8046-ea7c3e00efe1;9d662970-feb0-4436-b8f2-8e0aeefb7167;48;Липецкая область;42;false;Липецк;г;П.И.Смородина;ул;2
23121;1.2.643.5.1.13.13.12.2.48.4495;1.2.643.5.1.13.3.25.48.17;Государственное учреждение здравоохранения Липецкий областной наркологический диспансер;ГУЗ "ЛОНД";;2;Медицинская организация;4824003085;482401001;1024840855380;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;26.05.2021;I уровень;23;Диспансер;27;наркологический;398006;48:20:0040601:140;52.541143;39.591512;407;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;9b5a1d4b-7cbb-4e6c-baa7-1cf3b8509d4e;943ba3ec-2644-49c3-9910-82a400999ea5;48;Липецкая область;42;false;Липецк;г;Ленинградская;ул;18
23214;1.2.643.5.1.13.13.12.2.48.4498;1.2.643.5.1.13.3.25.48.20;Государственное учреждение здравоохранения «Лебедянская центральная районная больница»;ГУЗ «Лебедянская ЦРБ»;;2;Медицинская организация;4811003070;481101001;1034800060415;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;09.05.2021;II уровень;1;Больница (в том числе детская);;;399610;48:11:0470166:53;53.008831;39.134315;361;8391e90c-d9a9-4cf7-a45a-3551c5ebde53;c36aa259-1d68-49b4-8710-604f4e915c5a;d5570a8d-ba5d-4461-87da-ad9d0e4420ae;48;Липецкая область;42;false;Лебедянь;г;Почтовая;ул;13
25213;1.2.643.5.1.13.13.12.2.48.4503;1.2.643.5.1.13.3.25.48.25;Государственное учреждение здравоохранения "Областная стоматологическая поликлиника-Стоматологический центр";ГУЗ "Осп-Сц";;2;Медицинская организация;4825006040;482601001;1024840842938;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;17.05.2021;II уровень;34;Поликлиника;38;стоматологическая, в том числе детская;398043;48:20:0012901:3414;52.609898;39.562308;407;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;85fe5859-4834-4a51-bece-9fce570b5811;;48;Липецкая область;42;false;Липецк;г;Циолковского;ул;22
25214;1.2.643.5.1.13.13.12.2.48.4504;1.2.643.5.1.13.3.25.48.26;Государственное учреждение здравоохранения "Областной кожно-венерологический диспансер";ГУЗ "ОКВД";;2;Медицинская организация;4823057338;482301001;1134827003266;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;11.03.2021;II уровень;23;Диспансер;26;кожно-венерологический;398005;;52.577233;39.610305;521;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;f1f79f85-a5b5-4e1b-9ac6-d6356d49e082;afe71144-6177-4ce0-af07-e61c9cbf4e9b;48;Липецкая область;42;false;Липецк;г;М.Расковой;ул;18
25215;1.2.643.5.1.13.13.12.2.48.4505;1.2.643.5.1.13.3.25.48.27;Государственное учреждение здравоохранения "Лев-Толстовская районная больница";ГУЗ «Лев-Толстовская РБ»;;2;Медицинская организация;4812001100;481201001;1034800020056;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;11.03.2021;I уровень;1;Больница (в том числе детская);;;399870;;53.214437;39.438601;331;6305da4f-8609-4111-9484-cb62247272ee;c5401739-c44c-4c0c-bed8-7d3149ba44f5;401e7716-3954-4e61-96a0-f70c594096a2;48;Липецкая область;42;false;Лев Толстой;п;Железнодорожная;ул;33
25216;1.2.643.5.1.13.13.12.2.48.4506;1.2.643.5.1.13.3.25.48.28;ГУЗ "Центр скорой медицинской помощи и медицины катастроф Липецкой области";ГУЗ "ЦСМПИМКЛО";;2;Медицинская организация;4826085301;482601001;1124823018110;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;11.03.2021;II уровень;81;Медицинские организации скорой медицинской помощи и переливания крови;82;станция скорой медицинской помощи;398032;48:20:0012303:653;52.619456;39.553595;404;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;2c1f42bf-4cd6-4953-8122-324949695966;37f22893-f1fe-40d9-9974-e1c6fdce741b;48;Липецкая область;42;false;Липецк;г;Германа Титова;ул;6/4
25218;1.2.643.5.1.13.13.12.2.48.4508;1.2.643.5.1.13.3.25.48.30;Государственное учреждение здравоохранения "Липецкая городская больница № 6 им. В.В. Макущенко";ГУЗ "Липецкая городская больница № 6";;2;Медицинская организация;4823004992;482301001;1024840843565;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;20.03.2021;I уровень;1;Больница (в том числе детская);;;390017;48:20:0035102:13092;52.574727;39.618138;407;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;a5f5cd47-2336-43e5-b44f-5d5fdea0be8a;8f4dbfc7-5328-4206-95e8-7aec0eb36123;48;Липецкая область;42;false;Липецк;г;9-го Мая;ул;4
25222;1.2.643.5.1.13.13.12.2.48.4512;1.2.643.5.1.13.3.25.48.34;Государственное учреждение здравоохранения"Елецкая городская больница №2";ГУЗ "Елецкая городская больница №2";;2;Медицинская организация;4821011419;482101001;1024800790156;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;20.03.2021;II уровень;1;Больница (в том числе детская);;;399774;48:19:6030316:2;52.608055;38.497652;331;5aa1fba5-eab6-4a44-b91d-221f70ff73e1;4956e16a-906b-4ef2-b2ae-8c41cff56d6c;9a2e3888-2ff7-4e41-9cb0-f8965f07a4df;48;Липецкая область;42;false;Елец;г;Костенко;ул;7
25224;1.2.643.5.1.13.13.12.2.48.4514;1.2.643.5.1.13.3.25.48.36;Областное казенное учреждение Елецкий специализированный Дом ребенка;ОКУ "Елецкий СДР";;2;Медицинская организация;4821010849;482101001;1024800794732;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;05.03.2021;II уровень;41;Дом ребенка, в том числе специализированный;;;399770;48:19:6160110:38;52.625338;38.484581;331;5aa1fba5-eab6-4a44-b91d-221f70ff73e1;c8389b89-dd9f-457e-a2cb-3bd96b4f44ab;bcd92add-9e73-4dd2-a7d9-0a5a12475f66;48;Липецкая область;42;false;Елец;г;Пирогова;ул;32
25227;1.2.643.5.1.13.13.12.2.48.4517;1.2.643.5.1.13.3.25.48.39;Государственное учреждение здравоохранения Елецкий психоневрологический диспансер;ГУЗ Елецкий ПНД;;2;Медицинская организация;4821004436;482101001;1024800793324;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;17.05.2021;I уровень;23;Диспансер;31;психоневрологический;399777;;52.631154;38.508207;477;5aa1fba5-eab6-4a44-b91d-221f70ff73e1;6dbf9fc2-d06a-441b-9eaf-234f4354fb18;;48;Липецкая область;42;false;Елец;г;Дякина;ул;1
25230;1.2.643.5.1.13.13.12.2.48.4520;1.2.643.5.1.13.3.25.48.42;Государственное учреждение здравоохранения "Елецкая городская детская больница";ГУЗ "Елецкая ГДБ";;2;Медицинская организация;4821004891;482101001;1024800790024;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;11.03.2021;II уровень;1;Больница (в том числе детская);;;399774;48:19:6060201:11;52.619904;38.479910;20201201;c788ba15-69d5-4b1b-b2af-75785adc2eca;c3868f7b-f7b3-40a1-b24c-28588c3caf3c;;48;Липецкая область;42;false;Елец;г;220 Стрелковой Дивизии;ул;зд. 1В
25234;1.2.643.5.1.13.13.12.2.48.4523;1.2.643.5.1.13.3.25.48.46;Государственное учреждение здравоохранения «Измалковская районная больница»;ГУЗ «Измалковская РБ»;;2;Медицинская организация;4809001799;480901001;1034800042530;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;26.05.2021;I уровень;1;Больница (в том числе детская);;;;;52.694598;37.955528;431;05942a88-8df5-4e50-ae54-3782dc3745b6;b5ecdc0a-6b63-4d57-b814-4abdb879f9ba;;48;Липецкая область;42;false;Измалково;с;Лесной;пер;4
25413;1.2.643.5.1.13.13.12.2.48.4525;1.2.643.5.1.13.3.25.48.49;ГАУЗ Липецкая городская стоматологическая поликлиника №2;ГАУЗ Липецкая ГСП №2;;2;Медицинская организация;4826008811;482601001;1024840824810;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;17.05.2021;I уровень;34;Поликлиника;38;стоматологическая, в том числе детская;398035;48:20:0021637:448;52.607836;39.548519;407;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;57da22fd-f1e5-44c7-bbbe-6d63341eaf96;e24cd4d6-28bb-4ec2-b284-8fe1a44f08cb;48;Липецкая область;42;false;Липецк;г;Космонавтов;ул;37/5
25463;1.2.643.5.1.13.13.12.2.48.4530;1.2.643.5.1.13.3.25.48.54;Государственное учреждение здравоохранения "Хлевенская районная больница";ГУЗ «Хлевенская РБ»;;2;Медицинская организация;4817001584;481701001;1024800631591;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;11.03.2021;I уровень;1;Больница (в том числе детская);;;399260;;52.197885;39.090612;407;97837fb8-8000-4da7-8ab9-605fadf19b30;771127bc-3603-44f6-b3b5-03131ca9eb32;fa660dbf-d98c-4ddc-ad25-11e295e05725;48;Липецкая область;42;false;Хлевное;с;Прогресс;ул;5
25757;1.2.643.5.1.13.13.12.2.48.4532;1.2.643.5.1.13.3.25.48.56;Государственное учреждение здравоохранения "Добринская центральная районная больница";ГУЗ «Добринская ЦРБ»;;2;Медицинская организация;4804003217;480401001;1024800569090;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;09.05.2021;II уровень;1;Больница (в том числе детская);;;399431;;52.157504;40.493142;592;c3356243-a9f9-4b58-aa97-340e0214459e;70cbb76a-fcff-43a1-8e08-d1a3f51b1c84;57c62bf2-f62d-4ea1-abbf-36d1d5b3f57d;48;Липецкая область;42;false;Добринка;п;Воронского;ул;37
25854;1.2.643.5.1.13.13.12.2.48.4533;1.2.643.5.1.13.3.25.48.57;Государственное учреждение здравоохранения "Елецкая районная больница";ГУЗ «Елецкая РБ»;;2;Медицинская организация;4807001835;480701001;1024800606346;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;17.05.2021;I уровень;1;Больница (в том числе детская);;;399742;;52.602077;38.442621;409;f15e9d8c-571a-4178-9522-eec3107d6e51;3c9c31ca-3f13-408e-8464-34cd44296bc4;;48;Липецкая область;42;false;Газопровод;п;Зеленая;ул;23 "А"
25937;1.2.643.5.1.13.13.12.2.48.4536;1.2.643.5.1.13.3.25.48.62;Государственное учреждение здравоохранения Липецкая городская детская стоматологическая поликлиника;ГУЗ Липецкая ГДСП;;2;Медицинская организация;4826008755;482601001;1024840838846;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;30.04.2021;I уровень;34;Поликлиника;38;стоматологическая, в том числе детская;398001;;52.603855;39.580292;478;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;4cfe57e9-cb41-4ab9-ba0b-68cfd7c90915;1a56c18c-c799-4d70-95bd-3ba213b02db2;48;Липецкая область;42;false;Липецк;г;Советская;ул;63
25979;1.2.643.5.1.13.13.12.2.48.4538;1.2.643.5.1.13.3.25.48.64;Государственное учреждение здравоохранения "Липецкая городская поликлиника №2";ГУЗ "Липецкая городская поликлиника №2";;2;Медицинская организация;4824010276;482401001;1024840845435;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;09.05.2021;I уровень;34;Поликлиника;;;398046;48:20:0044506:683;52.589556;39.536661;475;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;26d5e249-3d44-4b40-8046-ea7c3e00efe1;ed1ca44b-324b-426c-950b-26c6875e3d1e;48;Липецкая область;42;false;Липецк;г;П.И.Смородина;ул;13
26035;1.2.643.5.1.13.13.12.2.48.4539;1.2.643.5.1.13.3.25.48.65;Государственное учреждение здравоохранения "Липецкая городская больница № 3 "Свободный Сокол";ГУЗ "Липецкая городская больница № 3 " Свободный Сокол";;2;Медицинская организация;4825005230;482501001;1024840835436;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;11.03.2021;III уровень;1;Больница (в том числе детская);;;398007;;52.639713;39.659120;465;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;f5889bae-238e-46cc-ac5e-3fe0accd7c35;8f5d57ab-e0eb-4b18-8d49-4343b5a24f56;48;Липецкая область;42;false;Липецк;г;Ушинского;ул;10
26096;1.2.643.5.1.13.13.12.2.48.4540;1.2.643.5.1.13.3.25.48.66;Государственное учреждение здравоохранения" Липецкая городская детская больница";ГУЗ ЛГДБ;;2;Медицинская организация;4825007741;482501001;1024840843994;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;17.05.2021;II уровень;1;Больница (в том числе детская);;;;;52.616913;39.615057;461;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;9cf1b2bf-8197-4691-ac35-88cf43f2e28b;0c42bb28-d844-4af4-91b5-ce1d5d6f22b2;48;Липецкая область;42;false;Липецк;г;Ленина;ул;40
26146;1.2.643.5.1.13.13.12.2.48.4541;1.2.643.5.1.13.3.25.48.67;Областное казенное учреждение "Усманский противотуберкулезный детский санаторий";ОКУ УПДС;;2;Медицинская организация;4816003395;481601001;1024800730118;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;09.05.2021;I уровень;85;Санаторно-курортные организации;89;санаторий;399370;48:16:470387:13;52.031286;39.728200;467;688b5e23-2c58-420d-91f9-afa6765ad498;463a403e-0377-45e4-b5ec-a0d7a0d518ac;41b48b05-1afd-4384-bdf6-021ac5d23c48;48;Липецкая область;42;false;Усмань;г;Ф.Энгельса;ул;8
26172;1.2.643.5.1.13.13.12.2.48.4542;1.2.643.5.1.13.3.25.48.68;Государственное учреждение здравоохранения "Липецкая городская больница № 4 "Липецк-Мед";ГУЗ "Липецкая ГБ № 4 "Липецк-Мед";;2;Медицинская организация;4824032706;482401001;1054800198705;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;09.05.2021;III уровень;1;Больница (в том числе детская);;;398006;;52.537643;39.582062;407;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;90b07486-dd33-4957-b94d-39d086fd528a;;48;Липецкая область;42;false;Липецк;г;Коммунистическая;ул;24
